serial,install_date,p_active,p_mobile,truth_alltime,truth_schedule
D00607,2025-04-14,0.329,0.579,1,0
D00608,2025-03-28,0.068,0.343,0,0
D00609,2025-02-15,0.261,0.183,0,0
D00610,2025-02-25,0.38,0.311,0,0
D00611,2025-02-27,0.034,0.439,0,0
D00612,2025-04-02,0.351,0.683,0,0
D00613,2025-03-04,0.392,0.32,1,0
D00614,2025-04-09,0.588,0.446,0,0
D00615,2025-03-13,0.333,0.648,0,0
D00616,2025-03-17,0.121,0.346,0,0
D00617,2025-04-21,0.307,0.767,0,0
D00618,2025-04-20,0.322,0.31,1,0
D00619,2025-05-08,0.431,0.121,0,0
D00620,2025-05-01,0.527,0.407,1,0
D00621,2025-04-04,0.295,0.21,0,0
D00622,2025-03-31,0.247,0.183,1,0
D00623,2025-04-29,0.292,0.471,1,0
D00624,2025-04-06,0.226,0.356,0,0
D00625,2025-03-20,0.326,0.813,0,0
D00626,2025-04-23,0.116,0.149,0,0
D00627,2025-04-13,0.417,0.187,0,0
D00628,2025-04-10,0.354,0.54,0,0
D00629,2025-03-29,0.305,0.138,0,0
D00630,2025-04-11,0.126,0.443,0,0
D00631,2025-03-08,0.107,0.16,0,0
D00632,2025-04-14,0.474,0.641,1,0
D00633,2025-04-04,0.589,0.299,0,0
D00634,2025-04-09,0.341,0.279,1,0
D00635,2025-04-27,0.639,0.313,0,0
D00636,2025-03-13,0.446,0.325,1,0
D00637,2025-04-22,0.139,0.126,0,0
D00638,2025-04-17,0.305,0.25,0,0
D00639,2025-03-03,0.219,0.091,0,0
D00640,2025-02-17,0.352,0.156,0,0
D00641,2025-03-14,0.28,0.382,1,0
D00642,2025-02-20,0.381,0.316,0,0
D00643,2025-02-26,0.404,0.688,0,0
D00644,2025-03-31,0.173,0.138,0,0
D00645,2025-03-05,0.267,0.734,0,0
D00646,2025-04-14,0.316,0.375,0,0
D00647,2025-04-02,0.372,0.628,0,0
D00648,2025-03-26,0.492,0.367,0,0
D00649,2025-02-16,0.125,0.67,0,0
D00650,2025-02-26,0.153,0.569,0,0
D00651,2025-03-30,0.146,0.312,0,0
D00652,2025-03-16,0.468,0.185,0,0
D00653,2025-04-25,0.377,0.072,0,0
D00654,2025-03-02,0.154,0.439,0,0
D00655,2025-03-25,0.275,0.259,0,0
D00656,2025-03-27,0.063,0.545,0,0
D00657,2025-03-06,0.084,0.73,0,0
D00658,2025-03-18,0.113,0.477,0,0
D00659,2025-05-07,0.445,0.152,1,0
D00660,2025-04-18,0.402,0.232,0,0
D00661,2025-04-28,0.162,0.381,1,0
D00662,2025-03-08,0.185,0.621,1,0
D00663,2025-05-10,0.114,0.385,0,0
D00664,2025-04-25,0.124,0.557,0,0
D00665,2025-03-21,0.171,0.174,0,0
D00666,2025-03-12,0.313,0.234,0,1
D00667,2025-03-29,0.267,0.641,1,0
D00668,2025-02-25,0.04,0.301,0,0
D00669,2025-02-20,0.129,0.445,1,0
D00670,2025-05-02,0.345,0.645,1,0
D00671,2025-02-17,0.304,0.255,0,1
D00672,2025-03-19,0.182,0.282,0,0
D00673,2025-03-17,0.348,0.189,0,0
D00674,2025-05-05,0.185,0.373,0,0
D00675,2025-03-19,0.404,0.259,0,0
D00676,2025-03-09,0.33,0.574,1,0
D00677,2025-03-22,0.203,0.443,0,0
D00678,2025-05-06,0.661,0.448,0,0
D00679,2025-03-27,0.243,0.349,1,0
D00680,2025-02-18,0.454,0.129,0,1
D00681,2025-03-09,0.431,0.557,0,0
D00682,2025-05-01,0.113,0.451,1,0
D00683,2025-02-16,0.177,0.301,0,0
D00684,2025-02-16,0.52,0.457,0,0
D00685,2025-04-28,0.198,0.209,1,0
D00686,2025-03-02,0.319,0.503,0,0
D00687,2025-04-07,0.161,0.703,0,0
D00688,2025-03-21,0.357,0.385,0,0
D00689,2025-04-03,0.164,0.339,0,0
D00690,2025-03-04,0.421,0.293,0,0
D00691,2025-02-13,0.336,0.749,0,0
D00692,2025-03-03,0.362,0.237,1,0
D00693,2025-02-19,0.479,0.322,0,0
D00694,2025-02-17,0.317,0.387,1,0
D00695,2025-05-05,0.218,0.099,0,0
D00696,2025-04-21,0.101,0.363,0,0
D00697,2025-03-10,0.421,0.677,1,0
D00698,2025-03-21,0.48,0.107,0,0
D00699,2025-05-09,0.599,0.238,0,0
D00700,2025-05-05,0.39,0.272,0,1
D00701,2025-03-28,0.125,0.186,1,0
D00702,2025-03-19,0.555,0.191,0,0
D00703,2025-04-28,0.196,0.256,0,0
D00704,2025-04-28,0.2,0.649,0,0
D00705,2025-05-02,0.353,0.211,1,0
D00706,2025-03-24,0.181,0.196,0,0
D00707,2025-05-13,0.369,0.25,0,0
D00708,2025-03-23,0.213,0.802,0,0
D00709,2025-04-01,0.486,0.501,0,0
D00710,2025-04-02,0.393,0.459,0,0
D00711,2025-03-13,0.12,0.673,0,0
D00712,2025-03-27,0.42,0.28,0,0
D00713,2025-03-09,0.24,0.342,0,0
D00714,2025-03-06,0.636,0.063,0,0
D00715,2025-02-20,0.225,0.441,0,0
D00716,2025-03-03,0.363,0.358,0,0
D00717,2025-03-28,0.265,0.534,1,0
D00718,2025-03-30,0.158,0.162,1,0
D00719,2025-04-22,0.254,0.753,0,0
D00720,2025-03-21,0.398,0.765,0,0
D00721,2025-05-01,0.232,0.259,0,0
D00722,2025-02-19,0.158,0.111,0,0
D00723,2025-02-26,0.383,0.304,0,0
D00724,2025-05-03,0.181,0.678,0,0
D00725,2025-03-04,0.397,0.671,1,0
D00726,2025-05-03,0.355,0.685,1,0
D00727,2025-03-10,0.302,0.677,0,0
D00728,2025-05-06,0.427,0.156,0,0
D00729,2025-03-31,0.562,0.129,0,0
D00730,2025-03-15,0.338,0.202,0,0
D00731,2025-03-09,0.196,0.589,0,0
D00732,2025-04-06,0.475,0.596,0,0
D00733,2025-02-20,0.399,0.528,0,0
D00734,2025-03-05,0.355,0.389,0,1
D00735,2025-04-25,0.075,0.097,0,0
D00736,2025-03-14,0.404,0.248,0,0
D00737,2025-03-09,0.252,0.506,0,0
D00738,2025-04-13,0.037,0.219,0,0
D00739,2025-03-08,0.017,0.269,0,1
D00740,2025-02-22,0.182,0.507,1,0
D00741,2025-03-01,0.039,0.469,1,0
D00742,2025-03-06,0.301,0.474,1,0
D00743,2025-03-17,0.071,0.448,0,0
D00744,2025-04-19,0.228,0.421,0,0
D00745,2025-03-03,0.202,0.664,0,0
D00746,2025-04-11,0.149,0.229,0,0
D00747,2025-03-27,0.203,0.38,1,0
D00748,2025-04-15,0.2,0.206,1,0
D00749,2025-04-15,0.452,0.079,0,0
D00750,2025-04-29,0.606,0.348,0,1
D00751,2025-02-16,0.494,0.956,0,0
D00752,2025-04-30,0.109,0.376,1,0
D00753,2025-05-06,0.43,0.281,0,0
D00754,2025-02-18,0.487,0.231,0,0
D00755,2025-03-25,0.056,0.747,1,0
D00756,2025-04-04,0.186,0.289,0,1
D00757,2025-03-08,0.405,0.731,0,0
D00758,2025-04-09,0.166,0.362,0,1
D00759,2025-05-02,0.477,0.107,0,0
D00760,2025-03-09,0.352,0.509,0,0
D00761,2025-04-28,0.372,0.18,0,1
D00762,2025-03-25,0.529,0.138,0,0
D00763,2025-02-17,0.456,0.465,0,0
D00764,2025-02-18,0.106,0.394,0,0
D00765,2025-04-11,0.172,0.387,0,0
D00766,2025-03-04,0.316,0.459,1,0
D00767,2025-03-19,0.162,0.292,1,0
D00768,2025-03-31,0.351,0.507,0,0
D00769,2025-05-01,0.35,0.248,0,0
D00770,2025-04-10,0.109,0.514,1,0
D00771,2025-03-16,0.317,0.656,1,0
D00772,2025-02-14,0.149,0.372,0,0
D00773,2025-05-13,0.197,0.581,0,0
D00774,2025-03-10,0.316,0.329,1,0
D00775,2025-02-26,0.441,0.51,0,0
D00776,2025-02-17,0.121,0.498,0,0
D00777,2025-04-05,0.441,0.152,0,0
D00778,2025-05-03,0.345,0.602,1,0
D00779,2025-04-19,0.317,0.553,1,0
D00780,2025-02-26,0.22,0.147,0,0
D00781,2025-02-23,0.324,0.191,0,0
D00782,2025-03-17,0.134,0.333,0,0
D00783,2025-05-02,0.214,0.295,0,0
D00784,2025-05-03,0.442,0.573,0,0
D00785,2025-03-31,0.338,0.348,0,0
D00786,2025-03-22,0.358,0.343,0,0
D00787,2025-05-11,0.77,0.192,0,0
D00788,2025-03-13,0.202,0.174,0,0
D00789,2025-03-25,0.37,0.171,1,0
D00790,2025-05-12,0.115,0.255,0,0
D00791,2025-05-05,0.539,0.247,0,0
D00792,2025-04-03,0.255,0.381,1,0
D00793,2025-03-09,0.291,0.414,0,0
D00794,2025-02-28,0.056,0.692,1,0
D00795,2025-04-05,0.254,0.037,1,0
D00796,2025-04-17,0.117,0.047,0,0
D00797,2025-02-15,0.638,0.279,0,1
D00798,2025-04-02,0.244,0.247,0,0
D00799,2025-04-15,0.149,0.748,0,0
D00800,2025-04-04,0.253,0.434,0,0
D00801,2025-05-12,0.171,0.271,0,1
D00802,2025-04-16,0.018,0.381,0,1
D00803,2025-03-28,0.268,0.584,0,1
D00804,2025-02-20,0.12,0.34,1,0
D00805,2025-03-08,0.273,0.565,0,0
D00806,2025-03-04,0.52,0.321,0,0
D00807,2025-03-25,0.425,0.476,1,0
D00808,2025-05-04,0.485,0.49,0,0
D00809,2025-04-08,0.314,0.49,0,0
D00810,2025-02-13,0.262,0.07,1,0
D00811,2025-05-10,0.088,0.502,1,0
D00812,2025-02-23,0.357,0.202,0,0
D00813,2025-03-13,0.515,0.216,0,0
D00814,2025-04-18,0.294,0.287,1,0
D00815,2025-03-04,0.728,0.31,0,0
D00816,2025-02-27,0.297,0.506,0,0
D00817,2025-05-10,0.478,0.129,0,0
D00818,2025-05-04,0.201,0.75,1,0
D00819,2025-03-15,0.203,0.39,1,0
D00820,2025-02-13,0.177,0.57,0,0
D00821,2025-05-11,0.163,0.13,0,0
D00822,2025-03-15,0.505,0.132,0,0
D00823,2025-05-01,0.086,0.391,0,0
D00824,2025-03-16,0.142,0.921,1,0
D00825,2025-03-18,0.656,0.698,0,0
D00826,2025-05-05,0.446,0.816,0,0
D00827,2025-03-13,0.228,0.419,0,0
D00828,2025-02-22,0.331,0.076,0,0
D00829,2025-02-25,0.247,0.223,0,0
D00830,2025-05-11,0.453,0.232,0,0
D00831,2025-04-21,0.163,0.314,0,0
D00832,2025-04-22,0.143,0.518,0,0
D00833,2025-04-03,0.211,0.253,0,0
D00834,2025-05-01,0.493,0.315,0,1
D00835,2025-02-26,0.097,0.626,1,0
D00836,2025-03-05,0.44,0.618,1,0
D00837,2025-03-02,0.265,0.479,0,0
D00838,2025-04-26,0.178,0.654,0,0
D00839,2025-05-12,0.507,0.539,0,0
D00840,2025-02-21,0.139,0.695,0,0
D00841,2025-04-17,0.447,0.274,0,0
D00842,2025-03-15,0.423,0.491,0,0
D00843,2025-02-21,0.275,0.495,1,0
D00844,2025-05-10,0.728,0.396,0,0
D00845,2025-05-13,0.11,0.411,0,0
D00846,2025-05-13,0.162,0.656,0,0
D00847,2025-04-29,0.373,0.257,1,0
D00848,2025-05-09,0.501,0.298,0,0
D00849,2025-03-01,0.61,0.587,0,0
D00850,2025-03-20,0.517,0.468,0,0
D00851,2025-02-14,0.392,0.582,0,0
D00852,2025-03-02,0.538,0.188,0,0
D00853,2025-02-16,0.074,0.164,0,0
D00854,2025-04-22,0.145,0.513,0,0
D00855,2025-04-18,0.092,0.196,0,0
D00856,2025-02-26,0.291,0.352,0,0
D00857,2025-04-21,0.368,0.573,1,0
D00858,2025-05-08,0.121,0.434,0,0
D00859,2025-03-14,0.38,0.244,0,0
D00860,2025-03-02,0.265,0.422,0,1
D00861,2025-02-15,0.264,0.681,0,0
D00862,2025-02-19,0.325,0.404,0,0
D00863,2025-05-03,0.274,0.043,0,0
D00864,2025-03-05,0.255,0.386,0,0
D00865,2025-02-26,0.08,0.425,0,0
D00866,2025-03-12,0.112,0.554,0,0
D00867,2025-03-01,0.075,0.531,0,0
D00868,2025-02-27,0.157,0.497,0,0
D00869,2025-04-03,0.432,0.437,0,0
D00870,2025-05-10,0.145,0.177,0,0
D00871,2025-04-02,0.212,0.196,1,0
D00872,2025-04-25,0.337,0.358,1,0
D00873,2025-05-03,0.27,0.088,0,0
D00874,2025-05-02,0.19,0.52,0,0
D00875,2025-03-12,0.353,0.225,0,0
D00876,2025-03-29,0.33,0.159,1,0
D00877,2025-03-26,0.442,0.536,0,0
D00878,2025-03-07,0.177,0.18,0,0
D00879,2025-03-25,0.192,0.464,1,0
D00880,2025-03-18,0.268,0.67,0,0
D00881,2025-05-06,0.162,0.202,0,0
D00882,2025-02-26,0.033,0.269,1,0
D00883,2025-04-03,0.342,0.188,0,0
D00884,2025-04-30,0.531,0.591,0,1
D00885,2025-03-01,0.244,0.379,0,0
D00886,2025-03-08,0.254,0.247,0,0
D00887,2025-05-09,0.173,0.585,0,0
D00888,2025-04-26,0.509,0.337,1,0
D00889,2025-05-12,0.056,0.18,0,0
D00890,2025-04-19,0.482,0.293,0,0
D00891,2025-05-05,0.478,0.326,1,0
D00892,2025-03-11,0.259,0.105,1,0
D00893,2025-03-27,0.171,0.073,1,0
D00894,2025-02-14,0.409,0.558,0,0
D00895,2025-03-07,0.399,0.157,0,0
D00896,2025-03-19,0.302,0.506,0,0
D00897,2025-03-29,0.069,0.452,0,0
D00898,2025-05-09,0.555,0.655,0,0
D00899,2025-05-07,0.228,0.384,0,0
D00900,2025-03-19,0.348,0.321,0,0
D00901,2025-05-13,0.05,0.272,0,0
D00902,2025-05-10,0.063,0.236,1,0
D00903,2025-04-24,0.085,0.271,0,0
D00904,2025-02-23,0.359,0.427,0,0
D00905,2025-04-02,0.491,0.511,0,0
D00906,2025-03-11,0.062,0.085,0,0
D00907,2025-04-06,0.286,0.457,1,0
D00908,2025-04-28,0.526,0.247,0,0
D00909,2025-04-10,0.039,0.7,0,0
D00910,2025-05-05,0.545,0.39,0,0
D00911,2025-03-05,0.185,0.11,0,0
D00912,2025-04-27,0.564,0.465,1,0
D00913,2025-04-10,0.207,0.121,1,0
D00914,2025-02-14,0.322,0.183,1,0
D00915,2025-03-21,0.247,0.336,1,0
D00916,2025-04-02,0.158,0.208,1,0
D00917,2025-03-26,0.148,0.496,0,0
D00918,2025-03-04,0.218,0.327,1,0
D00919,2025-04-21,0.32,0.204,1,0
D00920,2025-03-17,0.491,0.412,0,0
D00921,2025-02-24,0.22,0.167,0,0
D00922,2025-03-23,0.549,0.419,0,0
D00923,2025-04-03,0.508,0.035,0,0
D00924,2025-04-30,0.309,0.074,0,0
D00925,2025-04-21,0.261,0.393,0,0
D00926,2025-02-17,0.372,0.614,0,0
D00927,2025-03-26,0.106,0.419,0,0
D00928,2025-04-16,0.111,0.173,0,0
D00929,2025-04-06,0.22,0.232,0,0
D00930,2025-03-22,0.22,0.19,0,0
D00931,2025-03-26,0.346,0.247,1,0
D00932,2025-03-12,0.221,0.292,0,0
D00933,2025-04-20,0.583,0.799,0,1
D00934,2025-03-16,0.094,0.584,1,0
D00935,2025-04-04,0.319,0.41,1,0
D00936,2025-02-18,0.219,0.361,0,0
D00937,2025-04-29,0.49,0.472,0,0
D00938,2025-04-30,0.625,0.18,0,0
D00939,2025-04-02,0.119,0.321,0,0
D00940,2025-03-29,0.053,0.566,1,0
D00941,2025-03-12,0.202,0.292,0,0
D00942,2025-04-07,0.288,0.119,0,0
D00943,2025-02-20,0.134,0.322,1,0
D00944,2025-04-01,0.198,0.468,0,0
D00945,2025-05-02,0.227,0.283,0,0
D00946,2025-05-03,0.485,0.532,0,1
D00947,2025-02-15,0.095,0.164,0,0
D00948,2025-05-01,0.159,0.375,0,1
D00949,2025-02-17,0.174,0.588,0,0
D00950,2025-04-18,0.301,0.26,0,0
D00951,2025-05-05,0.469,0.48,0,0
D00952,2025-04-16,0.252,0.488,0,0
D00953,2025-03-19,0.193,0.141,1,0
D00954,2025-04-05,0.09,0.24,0,0
D00955,2025-03-04,0.292,0.392,0,0
D00956,2025-03-20,0.195,0.375,0,0
D00957,2025-04-07,0.146,0.883,1,0
D00958,2025-03-17,0.192,0.407,0,0
D00959,2025-02-15,0.15,0.356,0,0
D00960,2025-04-06,0.134,0.34,1,0
D00961,2025-04-30,0.164,0.24,1,0
D00962,2025-04-07,0.192,0.514,0,0
D00963,2025-02-27,0.166,0.565,0,0
D00964,2025-04-24,0.412,0.257,1,0
D00965,2025-02-17,0.242,0.193,0,0
D00966,2025-03-22,0.096,0.518,0,0
D00967,2025-03-20,0.125,0.349,0,0
D00968,2025-04-15,0.14,0.581,0,0
D00969,2025-02-20,0.861,0.856,0,0
D00970,2025-05-10,0.191,0.584,0,0
D00971,2025-04-17,0.262,0.498,0,0
D00972,2025-04-06,0.051,0.476,0,0
D00973,2025-04-01,0.201,0.644,0,0
D00974,2025-04-01,0.527,0.777,0,0
D00975,2025-04-30,0.168,0.295,0,0
D00976,2025-04-23,0.516,0.485,1,0
D00977,2025-05-05,0.126,0.104,0,0
D00978,2025-03-23,0.248,0.408,0,0
D00979,2025-04-12,0.264,0.81,0,0
D00980,2025-03-24,0.154,0.837,0,0
D00981,2025-03-21,0.275,0.365,0,0
D00982,2025-03-11,0.403,0.486,0,0
D00983,2025-03-25,0.416,0.417,0,0
D00984,2025-03-16,0.561,0.257,1,0
D00985,2025-03-22,0.237,0.248,1,0
D00986,2025-03-16,0.434,0.103,1,0
D00987,2025-03-19,0.173,0.135,1,0
D00988,2025-04-15,0.598,0.497,0,0
D00989,2025-04-21,0.124,0.339,0,0
D00990,2025-03-04,0.377,0.152,0,0
D00991,2025-04-13,0.206,0.696,1,0
D00992,2025-03-25,0.155,0.649,0,0
D00993,2025-04-26,0.108,0.232,1,0
D00994,2025-04-05,0.433,0.459,0,0
D00995,2025-03-27,0.111,0.262,1,0
D00996,2025-03-18,0.467,0.644,0,0
D00997,2025-03-27,0.399,0.311,0,0
D00998,2025-04-11,0.257,0.67,0,0
D00999,2025-02-16,0.585,0.571,0,0
D01000,2025-03-28,0.407,0.474,0,0
D01001,2025-03-02,0.059,0.581,1,0
D01002,2025-03-08,0.311,0.103,0,0
D01003,2025-03-24,0.382,0.279,0,0
D01004,2025-02-23,0.203,0.537,0,0
D01005,2025-05-02,0.266,0.632,0,0
D01006,2025-02-20,0.346,0.677,0,0
D01007,2025-02-26,0.249,0.076,1,0
D01008,2025-03-29,0.176,0.348,0,1
D01009,2025-03-08,0.113,0.17,0,1
D01010,2025-03-28,0.567,0.091,0,1
D01011,2025-04-19,0.224,0.456,0,0
D01012,2025-03-03,0.361,0.167,0,0
D01013,2025-04-21,0.206,0.437,0,0
D01014,2025-04-15,0.444,0.283,0,0
D01015,2025-03-28,0.24,0.473,0,0
D01016,2025-02-27,0.485,0.547,0,0
D01017,2025-04-09,0.301,0.346,0,0
D01018,2025-03-30,0.056,0.197,1,0
D01019,2025-05-10,0.157,0.623,0,0
D01020,2025-05-03,0.273,0.111,0,0
D01021,2025-05-08,0.263,0.176,0,0
D01022,2025-05-07,0.455,0.274,0,0
D01023,2025-02-24,0.436,0.12,0,0
D01024,2025-02-27,0.304,0.072,0,0
D01025,2025-03-01,0.196,0.555,0,0
D01026,2025-05-08,0.084,0.613,0,0
D01027,2025-05-07,0.149,0.392,0,1
D01028,2025-04-18,0.169,0.308,0,0
D01029,2025-03-24,0.194,0.3,0,0
D01030,2025-04-13,0.224,0.518,0,0
D01031,2025-03-31,0.122,0.069,0,0
D01032,2025-04-28,0.293,0.229,0,0
D01033,2025-03-09,0.072,0.262,0,0
D01034,2025-04-15,0.132,0.336,0,0
D01035,2025-05-08,0.236,0.488,0,0
D01036,2025-03-08,0.126,0.162,0,0
D01037,2025-02-21,0.081,0.676,1,0
D01038,2025-05-12,0.568,0.25,1,0
D01039,2025-04-04,0.316,0.269,0,0
D01040,2025-02-28,0.173,0.553,0,0
D01041,2025-03-11,0.405,0.287,1,0
D01042,2025-02-25,0.415,0.43,0,0
D01043,2025-04-06,0.263,0.291,0,0
D01044,2025-04-10,0.427,0.081,1,0
D01045,2025-03-11,0.14,0.441,0,0
D01046,2025-04-30,0.264,0.101,1,0
D01047,2025-04-22,0.432,0.668,0,0
D01048,2025-03-20,0.195,0.683,0,1
D01049,2025-03-14,0.557,0.274,1,0
D01050,2025-05-03,0.189,0.667,1,0
D01051,2025-03-29,0.208,0.174,0,0
D01052,2025-04-11,0.174,0.248,1,0
D01053,2025-03-29,0.212,0.368,0,0
D01054,2025-02-16,0.109,0.146,1,0
D01055,2025-05-07,0.303,0.048,0,0
D01056,2025-02-13,0.369,0.443,0,0
D01057,2025-04-03,0.194,0.397,0,0
D01058,2025-03-05,0.584,0.557,1,0
D01059,2025-04-05,0.344,0.551,0,0
D01060,2025-04-16,0.042,0.46,0,0
D01061,2025-03-05,0.249,0.751,1,0
D01062,2025-03-13,0.561,0.142,1,0
D01063,2025-05-01,0.148,0.54,0,0
D01064,2025-03-11,0.061,0.5,0,0
D01065,2025-03-07,0.541,0.331,1,0
D01066,2025-04-09,0.28,0.488,1,0
D01067,2025-02-19,0.332,0.251,0,0
D01068,2025-03-17,0.067,0.618,0,0
D01069,2025-04-13,0.338,0.834,0,0
D01070,2025-05-13,0.193,0.376,0,0
D01071,2025-03-14,0.242,0.465,0,0
D01072,2025-04-25,0.576,0.149,0,0
D01073,2025-03-06,0.19,0.453,0,0
D01074,2025-03-27,0.333,0.162,0,0
D01075,2025-04-01,0.312,0.233,1,0
D01076,2025-04-29,0.46,0.44,1,0
D01077,2025-03-10,0.118,0.378,0,0
D01078,2025-04-29,0.225,0.236,0,0
D01079,2025-04-06,0.061,0.902,1,0
D01080,2025-02-27,0.215,0.347,0,0
D01081,2025-02-20,0.259,0.392,0,0
D01082,2025-02-13,0.303,0.278,0,0
D01083,2025-02-16,0.207,0.262,0,0
D01084,2025-03-24,0.257,0.368,0,0
D01085,2025-04-25,0.436,0.367,0,0
D01086,2025-02-27,0.176,0.413,1,0
D01087,2025-03-02,0.086,0.608,0,0
D01088,2025-02-13,0.156,0.275,0,0
D01089,2025-03-16,0.303,0.328,1,0
D01090,2025-05-01,0.162,0.205,1,0
D01091,2025-03-29,0.273,0.291,1,0
D01092,2025-04-03,0.215,0.677,0,0
D01093,2025-02-27,0.451,0.147,0,0
D01094,2025-04-08,0.266,0.074,1,0
D01095,2025-04-14,0.364,0.621,0,0
D01096,2025-05-06,0.537,0.021,0,0
D01097,2025-02-27,0.118,0.436,1,0
D01098,2025-03-07,0.241,0.797,0,0
D01099,2025-05-10,0.29,0.356,1,0
D01100,2025-04-04,0.288,0.315,0,0
D01101,2025-03-31,0.275,0.449,0,0
D01102,2025-04-01,0.081,0.045,1,0
D01103,2025-02-20,0.176,0.147,0,0
D01104,2025-04-30,0.368,0.35,0,0
D01105,2025-04-16,0.112,0.423,0,0
D01106,2025-04-27,0.395,0.122,0,0
D01107,2025-04-22,0.356,0.354,0,0
D01108,2025-02-21,0.2,0.845,1,0
D01109,2025-02-18,0.27,0.312,0,0
D01110,2025-05-09,0.235,0.809,0,0
D01111,2025-03-18,0.3,0.63,0,0
D01112,2025-04-23,0.109,0.276,0,0
D01113,2025-04-26,0.297,0.698,0,0
D01114,2025-04-17,0.373,0.413,1,0
D01115,2025-04-26,0.293,0.297,0,0
D01116,2025-03-30,0.228,0.299,1,0
D01117,2025-02-13,0.276,0.085,0,0
D01118,2025-03-22,0.246,0.225,0,0
D01119,2025-03-09,0.493,0.074,0,0
D01120,2025-03-30,0.27,0.878,0,0
D01121,2025-05-12,0.273,0.596,0,0
D01122,2025-05-06,0.4,0.397,0,0
D01123,2025-04-19,0.151,0.84,0,0
D01124,2025-04-22,0.195,0.365,0,0
D01125,2025-02-27,0.218,0.438,1,0
D01126,2025-02-27,0.528,0.052,1,0
D01127,2025-02-26,0.296,0.471,0,0
D01128,2025-03-17,0.221,0.22,0,0
D01129,2025-03-24,0.186,0.72,0,0
D01130,2025-03-16,0.189,0.37,1,0
D01131,2025-04-07,0.127,0.173,0,0
D01132,2025-03-14,0.291,0.324,0,0
D01133,2025-03-03,0.263,0.761,0,0
D01134,2025-03-06,0.081,0.508,1,0
D01135,2025-03-19,0.527,0.909,0,0
D01136,2025-05-08,0.226,0.889,0,0
D01137,2025-03-09,0.412,0.341,0,1
D01138,2025-04-11,0.193,0.52,0,0
D01139,2025-03-08,0.36,0.118,0,0
D01140,2025-03-26,0.056,0.033,1,0
D01141,2025-02-23,0.369,0.486,1,0
D01142,2025-04-13,0.386,0.313,0,0
D01143,2025-02-19,0.165,0.159,0,0
D01144,2025-02-26,0.132,0.231,1,0
D01145,2025-04-14,0.236,0.251,0,0
D01146,2025-03-31,0.303,0.414,0,0
D01147,2025-03-27,0.191,0.409,0,1
D01148,2025-03-05,0.053,0.367,0,0
D01149,2025-03-12,0.181,0.583,0,0
D01150,2025-02-26,0.223,0.715,0,0
D01151,2025-04-10,0.259,0.41,0,0
D01152,2025-03-29,0.32,0.22,0,0
D01153,2025-04-05,0.4,0.197,0,0
D01154,2025-02-21,0.607,0.158,0,0
D01155,2025-04-16,0.276,0.11,1,0
D01156,2025-03-22,0.403,0.17,0,0
D01157,2025-05-03,0.129,0.125,0,0
D01158,2025-02-26,0.105,0.576,1,0
D01159,2025-04-09,0.47,0.346,1,0
D01160,2025-04-13,0.148,0.36,0,0
D01161,2025-03-22,0.387,0.207,1,0
D01162,2025-03-30,0.027,0.136,0,1
D01163,2025-02-26,0.492,0.071,1,0
D01164,2025-03-27,0.075,0.27,0,0
D01165,2025-03-28,0.451,0.504,0,0
D01166,2025-05-04,0.228,0.554,0,0
D01167,2025-05-12,0.378,0.185,0,1
D01168,2025-04-08,0.269,0.288,1,0
D01169,2025-02-13,0.294,0.373,0,0
D01170,2025-02-20,0.194,0.561,0,0
D01171,2025-03-18,0.36,0.514,0,0
D01172,2025-03-18,0.577,0.837,1,0
D01173,2025-04-08,0.397,0.332,1,0
D01174,2025-04-28,0.174,0.143,1,0
D01175,2025-05-13,0.376,0.358,0,0
D01176,2025-04-13,0.131,0.423,0,0
D01177,2025-04-15,0.135,0.762,0,0
D01178,2025-04-26,0.232,0.273,0,0
D01179,2025-04-20,0.221,0.825,0,0
D01180,2025-05-11,0.254,0.313,0,0
D01181,2025-03-20,0.3,0.472,1,0
D01182,2025-02-19,0.407,0.535,0,0
D01183,2025-03-12,0.276,0.3,0,0
D01184,2025-04-03,0.44,0.064,0,0
D01185,2025-04-06,0.596,0.147,1,0
D01186,2025-04-16,0.445,0.072,0,0
D01187,2025-05-01,0.333,0.125,0,0
D01188,2025-03-21,0.256,0.119,1,0
D01189,2025-03-24,0.527,0.456,0,0
D01190,2025-05-13,0.272,0.658,0,0
D01191,2025-04-06,0.349,0.131,0,1
D01192,2025-04-18,0.449,0.58,0,0
D01193,2025-04-28,0.202,0.199,0,0
D01194,2025-03-11,0.071,0.141,0,0
D01195,2025-03-27,0.287,0.488,0,0
D01196,2025-03-17,0.353,0.719,1,0
D01197,2025-03-10,0.262,0.174,0,0
D01198,2025-02-14,0.643,0.375,0,0
D01199,2025-03-02,0.285,0.105,1,0
D01200,2025-03-19,0.43,0.528,0,0
D01201,2025-02-23,0.331,0.166,0,0
D01202,2025-04-01,0.082,0.501,1,0
D01203,2025-02-14,0.078,0.421,0,0
D01204,2025-03-06,0.524,0.105,0,0
D01205,2025-03-16,0.3,0.468,0,0
D01206,2025-02-21,0.243,0.693,0,0
D01207,2025-03-28,0.265,0.186,0,0
D01208,2025-03-10,0.199,0.285,0,0
D01209,2025-04-18,0.47,0.073,1,0
D01210,2025-02-16,0.433,0.297,1,0
D01211,2025-03-18,0.197,0.514,0,0
D01212,2025-03-04,0.34,0.288,0,1
D01213,2025-04-02,0.495,0.481,0,0
